TIPO,OBRA,AUTOR,CIDADE,DATA,INSTITUIÇÃO,LATITUDE,LONGITUDE,ACESSO,UF
pintura,ouro preto lapidada,ivanilde brunow,vitoria,1979,Galeria Homero Massena,-20.32045,-40.33873,https://midiateca.es.gov.br/site/acervo/ouro-preto-lapidada/,ES
pintura,subway,norton,vitoria,2002,Galeria Homero Massena,-20.32045,-40.33861,https://midiateca.es.gov.br/site/acervo/subway/,ES
pintura,galeria da gente,orlando faria,vitoria,1977,Galeria Homero Massena,-20.32053,-40.33873,https://midiateca.es.gov.br/site/acervo/galeria-de-gente/,ES
pintura,mulher rendeira,cybele varela,vitoria,2003,Galeria Homero Massena,-20.32053,-40.33861,https://midiateca.es.gov.br/site/acervo/mulher-rendeira/,ES
pintura ,corisco,cybele varela,vitoria,2003,Galeria Homero Massena,-20.32052,-40.33861,https://midiateca.es.gov.br/site/acervo/corisco/,ES
pintura,o cacador,dionisio del santo,vitoria,1959,Museu de Artes do Espírito Santo,-20.319759363074194,-40.33429674490089,https://midiateca.es.gov.br/site/acervo/o-cacador/,ES
pintura,urubu e vaca morta,dionisio del santo,vitoria,1953,Museu de Artes do Espírito Santo,-20.31996,-40.33439,https://midiateca.es.gov.br/site/acervo/urubu-e-vaca-morta/,ES
pintura,convento vitoria azul,juliana morgado,vitoria,1996,Galeria Homero Massena,-20.32049,-40.33871,https://midiateca.es.gov.br/site/acervo/convento-vitoria-azul/,ES
pintura,desastre,dionisio del santo,vitoria,1955,Museu de Artes do Espírito Santo,-20.31994,-40.33435,https://midiateca.es.gov.br/site/acervo/desastre/,ES
pintura,igreja de santa luzia ,waleska fraga nascimento,vitoria,1984,Galeria Homero Massena,-20.32050,-40.33857970931890,https://midiateca.es.gov.br/site/acervo/igreja-de-santa-luzia-2/,ES
pintura,suicídio,dionisio del santo,vitoria,1959,Museu de Artes do Espírito Santo,-20.31991,-40.33444,https://midiateca.es.gov.br/site/acervo/suicidio/,ES
periódico,almanak do estado do espirito santo,heraclito amancio pereira,vitoria,1918,Biblioteca Estadual do Espírito Santo,-20.314832563336278,-40.29924728937764,https://midiateca.es.gov.br/site/acervo/almanak-do-estado-do-espirito-santo/,ES
livro,diario ou narracao historica,matheus van den broeck,vitoria,1877,Biblioteca Estadual do Espírito Santo,-20.31510,-40.29942,https://midiateca.es.gov.br/site/acervo/diario-ou-narracao-historica/,ES
livro,ensaios ethanographicos,jose leite de vasconcelos,vitoria,1910,Biblioteca Estadual do Espírito Santo,-20.31490,-40.29935,https://midiateca.es.gov.br/site/acervo/ensaios-ethonographicos/,ES
livro,deux annees au bresil,f biard,vitoria,1862,Biblioteca Estadual do Espírito Santo,-20.31488,-40.29929,https://midiateca.es.gov.br/site/acervo/deux-annees-au-bresil/,ES
livro,diccionario de botanica brasileira,joaquim de almeida pinto,vitoria,1873,Biblioteca Estadual do Espírito Santo,-20.31503,-40.29935,https://midiateca.es.gov.br/site/acervo/diccionario-de-botanica-brasileira/,ES
livro,estudos historicos,joaquim caetano fernandez pinto,vitoria,1876,Biblioteca Estadual do Espírito Santo,-20.31487,-40.29940,https://midiateca.es.gov.br/site/acervo/estudos-historicos/,ES
livro,historia da conjuracao mineira ,j norberto de souza silva,vitoria,1860,Biblioteca Estadual do Espírito Santo,-20.31517,-40.29939,https://midiateca.es.gov.br/site/acervo/historia-da-conjuracao-mineira/,ES
livro,fortificacoes da baia,j da silva campos,vitoria,1940,Biblioteca Estadual do Espírito Santo,-20.31490,-40.29929,https://midiateca.es.gov.br/site/acervo/fortificacoes-da-baia/,ES
livro ,constantinopla,edmundo de amicis,vitoria,1889,Biblioteca Estadual do Espírito Santo,-20.31519,-40.29927,https://midiateca.es.gov.br/site/acervo/constantinopla/,ES
livro,diccionario geogrphico das minas do brasil,francisco ignacio ferreira,vitoria,1885,Biblioteca Estadual do Espírito Santo,-20.31504,-40.29939,https://midiateca.es.gov.br/site/acervo/diccionario-geographico-das-minas-do-brasil/,ES
livro,breve noticia sobre a colleção das madeiras do brasil,dominio público,vitoria,1867,Biblioteca Estadual do Espírito Santo,-20.31507,-40.29928,https://midiateca.es.gov.br/site/acervo/breve-noticia-sobre-a-collecao-das-madeiras-do-brasil/,ES
cartaz,jun kono dance company,taizline,vitoria,1988,Arquivo Público do Estado do Espírito Santo,-20.316545149854388,-40.33753813376882,https://midiateca.es.gov.br/site/acervo/jun-kono-dance-company/,ES
cartaz,exposicao mae natureza,pmv,vitoria,1993,Arquivo Público do Estado do Espírito Santo,-20.31651,-40.33749,https://midiateca.es.gov.br/site/acervo/exposicao-mae-natureza/,ES
cartaz,projeto dancarte,ballet carioca,vitoria,1988,Arquivo Público do Estado do Espírito Santo,-20.31660,-40.33749,https://midiateca.es.gov.br/site/acervo/projeto-dancarte/,ES
cartaz ,do homem ao poeta,grupo de danca cisne negro,vitoria,1988,Arquivo Público do Estado do Espírito Santo,-20.31666,-40.33750,https://midiateca.es.gov.br/site/acervo/do-homem-ao-poeta/,ES
cartaz,carmina burana,geraes cia de danca,vitoria,1988,Arquivo Público do Estado do Espírito Santo,-20.31655,-40.33751,https://midiateca.es.gov.br/site/acervo/carmina-burana/,ES
